date,place,rating
2019-09-05,50,7028
2019-09-05,100,6452
2019-09-12,1,9727
2019-09-12,10,8391
2019-09-12,20,7887
2019-09-12,50,7028
2019-09-12,100,6483
2019-09-19,1,9727
2019-09-19,10,8412
2019-09-19,20,7956
2019-09-19,50,7065
2019-09-19,100,6490
2019-09-26,1,9874
2019-09-26,10,8469
2019-09-26,20,7956
2019-09-26,50,7095
2019-09-26,100,6527
2019-10-03,1,9938
2019-10-03,10,8469
2019-10-03,20,8009
2019-10-03,50,7121
2019-10-03,100,6527
2019-10-10,1,9971
2019-10-10,10,8460
2019-10-10,20,8092
2019-10-10,50,7090
2019-10-10,100,6546
2019-10-17,1,9971
2019-10-17,10,8460
2019-10-17,20,8044
2019-10-17,50,7090
2019-10-17,100,6551
2019-10-24,1,9971
2019-10-24,10,8531
2019-10-24,20,8069
2019-10-24,50,7162
2019-10-24,100,6575
2019-10-31,1,9912
2019-10-31,10,8531
2019-10-31,20,8055
2019-10-31,50,7157
2019-10-31,100,6613
2019-11-07,1,9895
2019-11-07,10,8531
2019-11-07,20,8134
2019-11-07,50,7217
2019-11-07,100,6609
2019-11-14,1,9895
2019-11-14,10,8531
2019-11-14,20,8122
2019-11-14,50,7148
2019-11-14,100,6617
2019-11-21,1,9990
2019-11-21,10,8531
2019-11-21,20,8165
2019-11-21,50,7181
2019-11-21,100,6620
2019-11-28,1,9990
2019-11-28,10,8585
2019-11-28,20,8184
2019-11-28,50,7201
2019-11-28,100,6637
2019-12-05,1,10109
2019-12-05,10,8694
2019-12-05,20,8217
2019-12-05,50,7217
2019-12-05,100,6650
2019-12-12,1,10081
2019-12-12,10,8693
2019-12-12,20,8331
2019-12-12,50,7253
2019-12-12,100,6649
2019-12-19,1,10131
2019-12-19,10,8693
2019-12-19,20,8319
2019-12-19,50,7332
2019-12-19,100,6696
2019-12-26,1,10129
2019-12-26,10,8693
2019-12-26,20,8356
2019-12-26,50,7266
2019-12-26,100,6696
2020-01-02,1,10137
2020-01-02,10,8754
2020-01-02,20,8365
2020-01-02,50,7338
2020-01-02,100,6703
2020-01-09,1,10130
2020-01-09,10,8754
2020-01-09,20,8391
2020-01-09,50,7302
2020-01-09,100,6703
2020-01-16,1,10194
2020-01-16,10,8821
2020-01-16,20,8467
2020-01-16,50,7340
